region,value
Tigray National Regional State,5247185515
Afar National Regional State,2289680952
Amhara National Regional State,17055187604
Oromiya  National Regional State,23814149645
Somale Regional State,5959041452
Benshangul-Gumuz National Regional State,1577825015
"Southern Nations, Nationalities & Peoples Regional Government",14758167931
Gambella Peoples National Regional State,1100808150
Harari People  National Regional State,733872100
Addis Ababa City Government,3421433910
Dire Dawa Administration,851291636
